Titre,Status,Ticket Type,Criticité,Priority,Estimation en jour,Espace concerné,Contexte,Test d'acceptance
[EPIC] Identité & Branding,To plan,Epic,Haute,P2,5,Eïa,"Permettre à chaque hôtel/spa d'avoir son propre branding (logo, couleurs) dans l'application.","Chaque lieu affiche son logo et ses couleurs. La différenciation visuelle entre établissements est claire."
[STORY] Personnalisation couleurs par hôtel,To plan,Story,Haute,P2,2,Eïa,"Chaque hôtel doit pouvoir configurer sa palette de couleurs dans l'interface.","Un admin peut définir une couleur primaire et secondaire par lieu. L'interface s'adapte dynamiquement."
[STORY] Upload logo et branding par lieu,To plan,Story,Moyenne,P2,2,Eïa,"Permettre l'upload d'un logo par établissement, affiché dans l'app et les emails.","Un logo uploadé s'affiche correctement dans le header de l'app et dans les emails de confirmation."
[STORY] Différenciation visuelle entre établissements,To plan,Story,Moyenne,P3,1,Eïa,"Dans la vue centralisée, chaque lieu doit être visuellement distinct.","En vue multi-lieux, je distingue immédiatement quel RDV appartient à quel hôtel grâce aux couleurs."
[EPIC] Gestion des lieux,To plan,Epic,Haute,P1,8,Eïa,"Configurer et gérer les différents lieux (hôtels/spas) avec leurs salles, thérapeutes et horaires.","Tous les lieux sont créés avec leurs salles, thérapeutes et horaires. L'agenda centralisé fonctionne."
[STORY] CRUD des lieux (hôtels / spas),To plan,Story,Haute,P1,2,Eïa,"Créer, modifier, supprimer un lieu avec ses informations de base (nom, adresse, couleur).","Je peux créer un lieu, lui attribuer un nom, une adresse, une couleur. Il apparaît dans l'agenda centralisé."
[STORY] Gestion des salles par lieu,To plan,Story,Haute,P1,2,Eïa,"Chaque lieu a un nombre de salles configurable. Les salles sont utilisées pour l'attribution des RDV.","Je peux ajouter/supprimer des salles par lieu. Les RDV sont assignés à une salle spécifique."
[STORY] Gestion des thérapeutes par lieu et par jour,To plan,Story,Haute,P1,2,Eïa,"Définir quels thérapeutes sont disponibles par lieu et par jour, avec distinction H/F.","Je peux assigner des thérapeutes à un lieu pour un jour donné, en précisant leur genre."
[STORY] Horaires d'ouverture paramétrables,To plan,Story,Haute,P1,2,Eïa,"Chaque lieu a ses propres horaires d'ouverture (ex: 10h-20h). Les réservations ne sont possibles que dans ces créneaux.","Les créneaux proposés aux clients respectent les horaires d'ouverture du lieu."
[EPIC] Gestion des agendas,To plan,Epic,Haute,P1,10,Eïa,"Agenda centralisé avec vues par lieu, salle et thérapeute. Codes couleurs et délai minimum avant réservation.","L'agenda affiche les RDV avec filtres par lieu/salle/thérapeute et les codes couleurs sont cohérents."
[STORY] Vue agenda par lieu,To plan,Story,Haute,P1,3,Eïa,"Afficher un agenda filtrable par lieu avec tous les RDV du jour/semaine.","Je sélectionne un lieu et je vois tous ses RDV du jour avec les salles et thérapeutes."
[STORY] Vue agenda par salle,To plan,Story,Haute,P1,2,Eïa,"Filtrer l'agenda pour voir les RDV d'une salle spécifique.","Je sélectionne une salle et je vois son planning avec les créneaux libres et occupés."
[STORY] Vue agenda par thérapeute,To plan,Story,Haute,P1,2,Eïa,"Filtrer l'agenda pour voir le planning d'un thérapeute spécifique.","Je sélectionne un thérapeute et je vois tous ses RDV du jour, quel que soit le lieu."
[STORY] Codes couleurs par lieu / prestation,To plan,Story,Moyenne,P2,1,Eïa,"Appliquer des codes couleurs automatiques selon le lieu et/ou le type de prestation.","Les RDV sont visuellement distinguables par couleur selon le lieu ou le type de soin."
[STORY] Délai minimum avant réservation,To plan,Story,Haute,P1,2,Eïa,"Paramétrer un délai minimum avant réservation (ex: pas de résa moins de 2h avant).","Si je tente de réserver un créneau dans moins de X heures, le système me bloque et propose le prochain créneau valide."
[EPIC] Process de réservation – Côté client,To plan,Epic,Haute,P1,15,Eïa,"Parcours de réservation en ligne : demande → attente confirmation → validation. Objectif : confirmer en moins de 10 min.","Un client peut réserver en ligne. Le RDV passe en attente puis est confirmé automatiquement en < 10 min."
[STORY] Formulaire de réservation en ligne,To plan,Story,Haute,P1,5,Eïa,"Le client choisit un lieu, un type de soin, une date/heure et un genre de thérapeute (H/F).","Le client peut sélectionner tous les critères et soumettre sa demande. Le RDV est créé en statut 'En attente'."
[STORY] Statut 'En attente de confirmation',To plan,Story,Haute,P1,2,Eïa,"Le RDV créé par le client est en attente jusqu'à validation par un thérapeute ou l'équipe.","Le RDV apparaît dans l'agenda en statut 'En attente'. Il n'est pas encore confirmé côté client."
[STORY] Proposition automatique de créneaux alternatifs,To plan,Story,Haute,P1,4,Eïa,"Si le créneau demandé est indisponible, proposer automatiquement les prochains créneaux disponibles.","Le client voit immédiatement les créneaux alternatifs. Un email est aussi envoyé avec les propositions."
[STORY] Email automatique d'indisponibilité + alternatives,To plan,Story,Haute,P1,2,Eïa,"Envoi automatique d'un email au client avec les créneaux disponibles en cas d'indisponibilité.","Le client reçoit un email formaté avec les créneaux alternatifs dans les 2 minutes suivant sa demande."
[STORY] Objectif confirmation < 10 min (automatisation),To plan,Story,Haute,P1,2,Eïa,"Mettre en place les mécanismes (notifications push, timeout, fallback) pour garantir une confirmation en < 10 min.","95% des RDV sont confirmés ou re-proposés en moins de 10 minutes."
[EPIC] Process thérapeute – Attribution des RDV,To plan,Epic,Haute,P1,8,Eïa,"Double système d'attribution : automatique (premier arrivé) ou manuelle par l'équipe.","Les thérapeutes reçoivent les demandes et peuvent accepter. L'équipe peut assigner manuellement si besoin."
